# chi2_tot  chi2_prior  chi2_data
   812.991     10.0722    802.919
   843.142     7.73977    835.402
   745.058     4.96339    740.095
   809.806     6.20905    803.597
   806.248     7.85604    798.392
   737.386     8.64449    728.742
    754.08     7.50337    746.576
   749.351     6.74255    742.609
   811.892     8.74213     803.15
   780.418     6.44417    773.974
   800.518      6.0644    794.453
   743.989      6.4394    737.549
   746.455     5.38599    741.069
   762.997     5.22434    757.773
   782.366     6.68616     775.68
   846.058     5.15056    840.907
   773.407     9.59364    763.813
    808.43     7.26004     801.17
   761.835     7.72881    754.106
   822.172     6.67469    815.498
   753.679      9.8555    743.824
   815.894     8.55112    807.343
   759.613     5.35224     754.26
   802.839     8.30137    794.538
   861.878     7.88388    853.994
   755.377     6.46284    748.914
   769.879     6.63945    763.239
   804.095     7.89253    796.203
   805.896     4.96957    800.927
   774.203     5.91366    768.289
   802.551     9.52464    793.027
   804.875     6.88882    797.987
   852.844     6.93465    845.909
   786.148     7.75477    778.393
   749.524      7.7123    741.812
   770.866     8.22691    762.639
   768.873     8.17325      760.7
   878.509     8.01063    870.498
   691.063     7.78166    683.282
   841.202     7.02781    834.174
   733.049     7.43191    725.617
   732.271      8.1159    724.155
   752.531      7.9691    744.562
   805.734     5.79997    799.934
   778.153     5.36562    772.787
   703.636      6.8137    696.822
   818.621     9.29703    809.324
   833.428      7.9814    825.447
   771.438     7.43372    764.004
   758.314      8.7461    749.568
   794.417     6.73578    787.681
   775.634     6.12186    769.512
   795.396     6.38254    789.014
   782.416     8.18565    774.231
   820.869     5.43968     815.43
   801.635     4.77791    796.858
   697.504     8.11043    689.394
   824.961     8.27065     816.69
    819.04     4.76077    814.279
   772.207     6.80683      765.4
   755.518     6.33186    749.186
   782.667     5.92534    776.742
   714.279     7.75611    706.523
   854.352     6.93737    847.415
   780.149     9.48398    770.665
   830.889     7.46721    823.422
   742.438     5.32259    737.115
   793.071     6.92407    786.147
   746.049     7.58972    738.459
   844.538     5.51655    839.021
   744.409     5.83526    738.574
   750.373     6.87428    743.499
   791.672     6.46083    785.212
   803.955     8.85561    795.099
    823.99     6.91717    817.073
   755.301     7.03255    748.268
   826.456     6.19198    820.264
   757.905     6.06494     751.84
   761.069     7.42602    753.643
   794.904     7.58523    787.318
   784.754       10.93    773.824
