# chi2_tot  chi2_prior  chi2_data
   3524.26    0.899502    3523.36
    3343.2     1.19224       3342
   3494.57    0.640997    3493.93
   3566.48    0.371602    3566.11
   3654.15    0.528873    3653.63
   3391.47    0.710618    3390.76
   3483.43     0.92898     3482.5
   3353.19    0.461531    3352.73
   3486.14    0.700299    3485.44
   3407.01    0.586278    3406.42
   3583.39    0.721103    3582.67
   3551.34    0.396447    3550.95
   3557.24     1.17493    3556.07
   3565.09    0.597303    3564.49
   3489.66    0.631298    3489.03
   3515.35     1.40066    3513.95
   3630.83    0.293412    3630.53
    3626.5    0.239154    3626.27
   3525.97    0.245223    3525.73
   3529.38    0.435603    3528.94
   3522.71    0.864608    3521.84
   3619.95    0.219342    3619.73
   3382.65    0.760502    3381.89
   3577.46    0.513247    3576.95
   3650.57    0.307579    3650.26
   3625.16    0.707777    3624.45
   3593.94     1.03969     3592.9
    3450.6    0.684941    3449.92
   3488.65    0.620555    3488.03
   3656.65    0.825371    3655.83
   3495.58    0.650867    3494.93
   3587.12    0.504002    3586.62
   3558.69    0.574367    3558.11
   3506.86    0.809779    3506.05
   3478.11    0.996989    3477.11
   3734.74     1.95266    3732.78
   3542.69    0.238792    3542.45
   3651.25    0.344384     3650.9
      3585    0.520668    3584.48
   3354.34    0.310118    3354.03
   3615.38     1.21215    3614.16
   3625.33    0.499109    3624.83
   3635.03    0.656474    3634.37
    3520.8    0.347836    3520.45
   3514.21    0.773438    3513.43
   3689.49     0.52059    3688.97
    3582.9    0.957916    3581.94
   3426.46     0.55099    3425.91
   3509.99    0.499521    3509.49
   3449.54    0.347416    3449.19
   3568.54     1.53902       3567
   3534.83    0.966999    3533.86
   3434.83     0.34347    3434.49
   3521.72    0.907534    3520.81
   3631.96    0.913639    3631.05
   3486.34    0.753978    3485.59
   3735.35     1.88972    3733.46
   3495.64     1.14253     3494.5
   3703.95    0.971886    3702.98
   3412.13     1.12649    3411.01
   3480.33     1.02173    3479.31
   3562.88    0.521054    3562.36
   3513.72    0.463599    3513.25
   3681.71    0.695012    3681.01
   3549.79    0.796742       3549
   3785.86     1.01646    3784.85
   3452.35    0.504345    3451.84
   3664.37    0.597951    3663.77
   3586.05    0.840437    3585.21
    3418.3     2.05412    3416.24
   3466.95    0.220057    3466.73
   3587.64    0.536301     3587.1
   3572.87     1.18966    3571.68
   3559.41    0.407139    3559.01
   3377.68    0.571831     3377.1
   3497.66    0.663087       3497
   3552.91     1.08668    3551.82
   3709.41    0.920704    3708.49
   3630.84     0.27813    3630.56
   3553.74    0.503567    3553.24
      3409    0.364025    3408.63
   3409.35     1.62011    3407.73
   3579.58    0.980267     3578.6
    3449.5    0.423795    3449.08
   3508.86    0.400165    3508.46
   3608.39    0.653759    3607.73
   3499.26    0.693378    3498.56
   3520.28    0.456023    3519.82
   3608.64      1.4177    3607.22
   3549.83    0.460767    3549.37
   3418.42     1.17451    3417.24
   3647.29    0.938367    3646.35
   3611.58    0.660747    3610.92
   3561.06    0.528601    3560.53
   3443.37     1.13083    3442.24
