# chi2_tot  chi2_prior  chi2_data
   795.145    0.866469    794.279
   783.691    0.205971    783.485
   748.162    0.197307    747.965
   746.958     1.72167    745.236
   852.018    0.535711    851.482
   780.108    0.854563    779.253
   795.045    0.228579    794.817
   805.351    0.550668      804.8
   750.032    0.301606     749.73
    778.84    0.278157    778.562
   809.385    0.324939     809.06
   799.978    0.807419    799.171
   845.943    0.587126    845.355
   828.882    0.718231    828.164
   790.047    0.200215    789.847
   838.023    0.533405    837.489
    729.64     0.72858    728.911
   772.256    0.367837    771.888
   815.991    0.793915    815.197
   780.461    0.623401    779.838
   749.359    0.181823    749.177
   874.152      1.0716    873.081
   784.624     1.25212    783.372
   805.945    0.339111    805.606
   806.387    0.289239    806.098
   795.373    0.854762    794.519
   760.552    0.364923    760.187
   798.882     2.76942    796.113
   828.449    0.417169    828.032
   916.017     2.12561    913.891
   756.243    0.222297    756.021
   754.361    0.423405    753.937
   818.342    0.975944    817.366
   796.058    0.883585    795.174
   711.656    0.900163    710.756
     836.3    0.669218    835.631
   749.622    0.242855    749.379
   796.877    0.399498    796.477
   780.991    0.413684    780.577
   775.289     1.22677    774.062
   829.688     1.28903    828.399
    792.56     0.30553    792.254
   762.026    0.598305    761.427
   833.927    0.560745    833.366
   750.983    0.395195    750.588
   770.212     1.58181    768.631
   740.972     1.43338    739.539
   768.032     0.90604    767.126
   849.831    0.797969    849.033
   762.152    0.428593    761.723
   795.162    0.254045    794.908
   807.288    0.615017    806.673
   814.079    0.805166    813.274
   845.433    0.354503    845.078
   797.457    0.142209    797.315
   790.552    0.358575    790.193
    775.02    0.735369    774.285
   772.815     0.45315    772.362
   738.741    0.700675    738.041
   745.981    0.674597    745.307
   798.558    0.803627    797.754
   803.523    0.995433    802.528
   802.058    0.533377    801.524
   755.967    0.277965    755.689
   746.604    0.328388    746.275
   778.852    0.199163    778.653
   741.848    0.589939    741.258
   784.493    0.257529    784.235
   731.364    0.162851    731.201
   765.791    0.242063    765.549
   683.486    0.156789    683.329
   767.018    0.267265    766.751
   717.461    0.258845    717.202
   771.348    0.155701    771.193
   779.751    0.988498    778.763
   809.346    0.188275    809.158
   731.948    0.440224    731.508
   777.551    0.260776     777.29
    652.46    0.155862    652.304
    810.16     1.14981     809.01
   761.259    0.306808    760.953
    807.85     1.39466    806.456
   774.432    0.559785    773.872
   739.387    0.237639    739.149
   748.677    0.423221    748.254
    832.81    0.558525    832.252
   826.897    0.652487    826.245
   808.948    0.196951    808.751
   782.313    0.437676    781.876
   723.471    0.692482    722.778
   735.437    0.799887    734.637
   761.634    0.888627    760.746
    793.43    0.431311    792.999
   809.291    0.830899     808.46
   742.016    0.451121    741.565
    761.53    0.351482    761.178
   754.505     1.28622    753.219
   777.006    0.667159    776.339
   767.957     1.11907    766.838
   753.644    0.483432     753.16
   773.652    0.943636    772.709
   787.997    0.277193     787.72
   875.472     1.19419    874.277
   758.273    0.397502    757.875
   778.799    0.410732    778.388
   842.918    0.609659    842.308
   832.565     0.80255    831.763
   814.939    0.132393    814.807
   777.035     0.37842    776.657
   785.094    0.227999    784.866
   750.689    0.427031    750.262
   806.142    0.799733    805.342
   778.546    0.547182    777.999
     780.7    0.730589    779.969
    835.74    0.249401    835.491
   786.289     0.44946     785.84
   776.702    0.684717    776.017
   780.184    0.755707    779.429
   760.748    0.324749    760.423
   832.764     0.43662    832.328
   820.431     1.71123     818.72
   792.754    0.306638    792.448
   833.412     2.69351    830.718
   747.094    0.317506    746.776
   758.232    0.198966    758.033
   845.583    0.402772     845.18
   675.882    0.122284     675.76
   753.397    0.465251    752.931
   876.985    0.636329    876.348
    785.08    0.283134    784.797
   713.304    0.666354    712.638
   718.155    0.537474    717.618
   736.421    0.187094    736.234
   811.811    0.866422    810.945
   785.559    0.464016    785.095
   738.606    0.151289    738.455
   793.204    0.443818     792.76
   753.856    0.728495    753.127
   793.036    0.196347     792.84
    803.34    0.523029    802.817
   756.026    0.452127    755.574
    768.63    0.169025    768.461
   749.575       0.389    749.186
   793.151     1.22567    791.925
   782.644    0.147211    782.497
   808.181    0.317471    807.863
   749.837    0.227771    749.609
    696.51    0.277235    696.233
   854.093    0.338151    853.755
   847.686    0.826618    846.859
    758.98     0.46971    758.511
   813.063    0.265062    812.798
   762.609    0.143195    762.466
   783.104    0.781204    782.323
   763.977    0.679085    763.298
   737.065    0.336717    736.729
   817.246       1.119    816.127
   733.563   0.0963031    733.467
    793.26    0.335333    792.925
   772.419     1.61719    770.802
   815.471    0.760602     814.71
   774.966      1.2319    773.734
   800.023     1.02407    798.999
   842.178    0.112823    842.065
